source,pivot_text(de),pivot_text(zh),bt_zh,bt_de
"Before the outbreak's end, Andover, Kansas, would record the year's only F5 tornado (see Andover, Kansas Tornado Outbreak).","Andover, Kansas, nahm den einzigen F5-Turnado des Jahres vor dem Ende des Ausbruchs auf.","安多弗,堪萨斯州 记录了今年唯一F5龙卷风 在疫情爆发结束前","Andover, Kansas, recorded this year's only F5 tornado before the outbreak.","Andover, Kansas, recorded the only F5 Turnado of the year before the end of the outbreak."
"The Hanseatic city of Greifswald is enclosed by the district, but does not belong to it.","Die Hansestadt Greifswald ist von der Gegend umgeben, gehört aber nicht dazu.","格雷夫斯瓦尔德市在区内,但不属于区内。","The city of Graveswald is within the zone, but not within it.","The Hanseatic city of Greifswald is surrounded by the area, but does not belong to it."
"The team with home-ice advantage hosts Games 1, 2, 5 and 7, while the opponent hosts Games 3, 4 and 6 (Games 5 – 7 are played ""if necessary"").","Das Team mit Heimvorteil Gastgeber Spiele 1, 2, 5 und 7, während der Gegner Gastgeber 3, 4 und 6. 5 – 7 gespielt werden ""wenn nötig"".","拥有家庭冰利优势的球队主赛第1、2、5和7届运动会, 同时,对手主赛第3、4和6届运动会(Games 5 - 7在“必要时”播放)。","The first, second, fifth and seventh games of the team with the advantage of family ice, and the third, fourth and sixth games of the competition (Games 5-7 played “if necessary”).","The team with home advantage hosts games 1, 2, 5 and 7, while the opponent hosts 3, 4 and 6. 5 – 7 are played ""if necessary""."
A fugue forms the development section of the last movement of his piano sonata op.,Eine Fuge umfasst den letzten Satz seiner Klaviersonate.,他的钢琴之音行动最后运动的发展部分是用一个模糊的字句创建的。,The development part of his last movement of piano action was created in a vague word.,A fugue includes the last movement of his piano sonata.
The show is currently not on the air in the United States.,Die Show wird derzeit nicht in den Vereinigten Staaten ausgestrahlt.,该节目不再在美国播出。,The programme is no longer broadcast in the United States.,The show is currently not broadcast in the United States.
He performed on a regular basis for white audiences in the 1900s.,In den 1900er Jahren trat er für das weiße Publikum auf.,他定期演出 19世纪他有白人观众,He performed regularly. He had a white audience in the 19th century.,In the 1900s he performed for the white audience.
"The formation of Armenian revolutionary groups began roughly around the end of the Russo-Turkish War of 1878 and intensified with the first introduction of Article 166 of the Ottoman Penal code 166, and the raid of Erzerum Cathedral.",Die Gründung armenischer revolutionärer Gruppen begann am Ende des russisch-türkischen Krieges von 1878. Sie steigerte die Geschwindigkeit nach dem Artikel 166 des osmanischen Strafgesetzbuches 166 und dem Überfall auf die Kathedrale von Erzerum.,"亚美尼亚革命团体在1878年俄罗斯-土耳其战争结束后不久开始形成,随着《奥托曼刑法》第166条的引入和Erzerum大教堂的突袭,这些团体变得更加强大。",The Armenian revolutionary groups began to form shortly after the end of the Russian-Turkish war in 1878 and became stronger with the introduction of article 166 of the Ottoman Criminal Code and the raid on the Erzerum Cathedral.,The founding of Armenian revolutionary groups began at the end of the Russo-Turkish war of 1878. It increased speed according to Article 166 of the Ottoman Criminal Code 166 and the attack on the Cathedral of Erzerum.
"History The district was created in 1817 as Bilsteiner Kreis, in 1819 the capital was set to be Olpe.",Der Bezirk wurde 1817 gegründet. 1819 wurde die Hauptstadt Olpe.,"该区于1817年作为Bilsteiner Kreis创建,奥尔佩定于1819年成为首都。",The district was created as Bilsteiner Kreis in 1817 and Olpe is scheduled to become the capital in 1819.,The district was founded in 1817. In 1819 the capital Olpe became.
Eunomia has been observed occulting stars three times.,Okkultierende Sterne waren 3-mal in Eunomia zu sehen.,Enomia曾三次看到 环绕恒星的环绕,Enomia has seen around the stars three times.,Occult stars were seen three times in Eunomia.
"Its symbol is ""$"", with ""RD $"" used when distinction from other pesos (or dollars) is required; its ISO 4217 code is ""DOP"".","Sein Symbol ist ""$"", mit ""RD $"" verwendet, wenn die Unterscheidung von anderen Pesos erforderlich ist.","它的符号是""$""。当需要区别于其他比索(或美元)时,使用""RD$""。 它的ISO 4217代码是“DOP”。","Its symbol is ""$."" When you need to distinguish it from other pesos (or dollars), you use ""RD$."" Its ISO 4217 code is ""DOP.""","Its symbol is ""$"", used with ""RD $"" if the distinction from other pesos is required."

